source_category,source_ext,source_name,target_category,target_ext,target_name,engine,is_common,cross_category,url_slug
Documents,pdf,PDF,Documents,docx,DOCX,libreoffice,True,False,pdf-to-docx
Documents,pdf,PDF,Documents,doc,DOC,libreoffice,False,False,pdf-to-doc
Documents,pdf,PDF,Documents,odt,ODT,libreoffice,False,False,pdf-to-odt
Documents,pdf,PDF,Documents,txt,TXT,libreoffice,True,False,pdf-to-txt
Documents,pdf,PDF,Documents,rtf,RTF,libreoffice,False,False,pdf-to-rtf
Documents,pdf,PDF,Documents,html,HTML,libreoffice,True,False,pdf-to-html
Documents,pdf,PDF,Documents,tex,TEX,libreoffice,False,False,pdf-to-tex
Documents,pdf,PDF,Documents,epub,EPUB,libreoffice,True,False,pdf-to-epub
Documents,pdf,PDF,Documents,mobi,MOBI,libreoffice,False,False,pdf-to-mobi
Documents,pdf,PDF,Documents,fb2,FB2,libreoffice,False,False,pdf-to-fb2
Documents,pdf,PDF,Documents,md,MD,libreoffice,False,False,pdf-to-md
Documents,pdf,PDF,Documents,csv,CSV,libreoffice,False,False,pdf-to-csv
Documents,pdf,PDF,Documents,xml,XML,libreoffice,False,False,pdf-to-xml
Documents,pdf,PDF,Documents,json,JSON,libreoffice,False,False,pdf-to-json
Documents,pdf,PDF,Spreadsheets,xlsx,XLSX,universal,False,True,pdf-to-xlsx
Documents,pdf,PDF,Spreadsheets,xls,XLS,universal,False,True,pdf-to-xls
Documents,pdf,PDF,Spreadsheets,ods,ODS,universal,False,True,pdf-to-ods
Documents,pdf,PDF,Spreadsheets,csv,CSV,universal,False,True,pdf-to-csv
Documents,pdf,PDF,Spreadsheets,tsv,TSV,universal,False,True,pdf-to-tsv
Documents,pdf,PDF,Spreadsheets,dbf,DBF,universal,False,True,pdf-to-dbf
Documents,pdf,PDF,Spreadsheets,fods,FODS,universal,False,True,pdf-to-fods
Documents,pdf,PDF,Presentations,pptx,PPTX,universal,False,True,pdf-to-pptx
Documents,pdf,PDF,Presentations,ppt,PPT,universal,False,True,pdf-to-ppt
Documents,pdf,PDF,Presentations,odp,ODP,universal,False,True,pdf-to-odp
Documents,pdf,PDF,Images,jpg,JPG,libreoffice,False,True,pdf-to-jpg
