category_id,category_name,category_icon,format_ext,format_name,format_full_name,mime_type,can_read,can_write,is_source,is_target
documents,Documents,📄,pdf,PDF,Portable Document Format,application/pdf,True,True,True,True
documents,Documents,📄,docx,DOCX,Microsoft Word Document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,True,True,True,True
documents,Documents,📄,doc,DOC,Microsoft Word 97-2003,application/msword,True,True,True,True
documents,Documents,📄,odt,ODT,OpenDocument Text,application/vnd.oasis.opendocument.text,True,True,True,True
documents,Documents,📄,txt,TXT,Plain Text,text/plain,True,True,True,True
documents,Documents,📄,rtf,RTF,Rich Text Format,application/rtf,True,True,True,True
documents,Documents,📄,html,HTML,HyperText Markup Language,text/html,True,True,True,True
documents,Documents,📄,xps,XPS,XML Paper Specification,application/vnd.ms-xpsdocument,True,False,True,False
documents,Documents,📄,tex,TEX,LaTeX Source,application/x-tex,True,True,True,True
documents,Documents,📄,ps,PS,PostScript,application/postscript,True,False,True,False
documents,Documents,📄,epub,EPUB,Electronic Publication,application/epub+zip,True,True,True,True
documents,Documents,📄,mobi,MOBI,Mobipocket eBook,application/x-mobipocket-ebook,True,True,True,True
documents,Documents,📄,azw3,AZW3,Amazon Kindle eBook,application/vnd.amazon.ebook,True,False,True,False
documents,Documents,📄,fb2,FB2,FictionBook 2.0,application/x-fictionbook+xml,True,True,True,True
documents,Documents,📄,djvu,DJVU,DjVu Document,image/vnd.djvu,True,False,True,False
documents,Documents,📄,pages,PAGES,Apple Pages,application/x-iwork-pages-sffpages,True,False,True,False
documents,Documents,📄,wpd,WPD,WordPerfect Document,application/vnd.wordperfect,True,False,True,False
documents,Documents,📄,md,MD,Markdown,text/markdown,True,True,True,True
documents,Documents,📄,csv,CSV,Comma-Separated Values,text/csv,True,True,True,True
documents,Documents,📄,xml,XML,eXtensible Markup Language,application/xml,True,True,True,True
documents,Documents,📄,json,JSON,JavaScript Object Notation,application/json,True,True,True,True
documents,Documents,📄,wps,WPS,Microsoft Works,application/vnd.ms-works,True,False,True,False
documents,Documents,📄,hwp,HWP,Hangul Word Processor,application/x-hwp,True,False,True,False
spreadsheets,Spreadsheets,📊,xlsx,XLSX,Microsoft Excel,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,True,True,True,True
spreadsheets,Spreadsheets,📊,xls,XLS,Microsoft Excel 97-2003,application/vnd.ms-excel,True,True,True,True
spreadsheets,Spreadsheets,📊,ods,ODS,OpenDocument Spreadsheet,application/vnd.oasis.opendocument.spreadsheet,True,True,True,True
spreadsheets,Spreadsheets,📊,csv,CSV,Comma-Separated Values,text/csv,True,True,True,True
